BOOT_TIME_EPOCH 1546494242777
BOOT_UPTIME_MILLIS 135913
time, touch_ID, touch_x, touch_y, touch_max_diameter, touch_min_diameter, touch_area, touch_pressure
139226, 0, 117.0, 761.0, 2.0, 1.0, 1.5707963267948966, 1.0
139237, 0, 117.0, 761.0, 3.0, 3.0, 7.0685834705770345, 1.0
139246, 0, 117.0, 761.0, 4.0, 4.0, 12.566370614359172, 1.0
139247, 0, 117.0, 761.0, 4.0, 4.0, 12.566370614359172, 1.0
139253, 0, 117.0, 760.0, 4.0, 4.0, 12.566370614359172, 1.0
139262, 0, 117.0, 758.0, 4.0, 4.0, 12.566370614359172, 1.0
139264, 0, 117.0, 757.4454, 4.0, 4.0, 12.566370614359172, 1.0
139270, 0, 117.0, 753.0, 4.0, 4.0, 12.566370614359172, 1.0
139279, 0, 117.0, 745.0, 4.0, 4.0, 12.566370614359172, 1.0
139281, 0, 117.0, 743.11865, 4.0, 4.0, 12.566370614359172, 1.0
139287, 0, 116.0, 736.0, 4.0, 4.0, 12.566370614359172, 1.0
139287, 0, 116.0, 736.0, 4.0, 4.0, 12.566370614359172, 1.0
139287, 1, 0.0, 956.0, 2.0, 1.0, 1.5707963267948966, 1.0
139296, 0, 115.0, 730.0, 3.0, 3.0, 7.0685834705770345, 1.0
139296, 1, 0.0, 956.0, 2.0, 1.0, 1.5707963267948966, 1.0
139297, 0, 114.846344, 729.07806, 3.0, 3.0, 7.0685834705770345, 1.0
139297, 1, 0.0, 956.0, 2.0, 1.0, 1.5707963267948966, 1.0
139305, 0, 115.0, 724.0, 3.0, 3.0, 7.0685834705770345, 1.0
139305, 1, 0.0, 956.0, 2.0, 1.0, 1.5707963267948966, 1.0
139313, 0, 115.0, 718.0, 3.0, 3.0, 7.0685834705770345, 1.0
139313, 1, 0.0, 956.0, 2.0, 1.0, 1.5707963267948966, 1.0
139314, 0, 115.0, 717.2591, 3.0, 3.0, 7.0685834705770345, 1.0
139314, 1, 0.0, 956.0, 2.0, 1.0, 1.5707963267948966, 1.0
139321, 0, 115.0, 714.0, 3.0, 3.0, 7.0685834705770345, 1.0
139321, 1, 0.0, 956.0, 2.0, 1.0, 1.5707963267948966, 1.0
139330, 0, 115.0, 712.0, 4.0, 3.0, 9.42477796076938, 1.0
139330, 1, 0.0, 956.0, 2.0, 1.0, 1.5707963267948966, 1.0
139330, 0, 115.0, 711.9588, 4.0, 3.0, 9.42477796076938, 1.0
139330, 1, 0.0, 956.0, 2.0, 1.0, 1.5707963267948966, 1.0
139338, 0, 115.0, 711.0, 3.0, 3.0, 7.0685834705770345, 1.0
139338, 1, 0.0, 956.0, 2.0, 1.0, 1.5707963267948966, 1.0
139347, 0, 115.0, 710.0, 4.0, 3.0, 9.42477796076938, 1.0
