BOOT_TIME_EPOCH 1546494242777
BOOT_UPTIME_MILLIS 135913
time, accel_x, accel_y, accel_z
135948, 0.023942016, -0.34955344, 9.768343
135949, 0.02873042, -0.35434186, 9.768343
135950, 0.023942016, -0.33039984, 9.753978
135950, 0.01436521, -0.34476504, 9.787497
135950, 0.02873042, -0.33039984, 9.782708
135951, 0.023942016, -0.35913026, 9.768343
135960, 0.019153614, -0.35434186, 9.739613
135970, 0.023942016, -0.31603462, 9.773131
135981, 0.033518825, -0.33997664, 9.77792
135990, 0.023942016, -0.33518824, 9.730036
136000, 0.0047884034, -0.320823, 9.758766
136010, 0.019153614, -0.33518824, 9.734824
136020, 0.019153614, -0.34955344, 9.792285
136030, 0.038307227, -0.34955344, 9.773131
136040, 0.023942016, -0.320823, 9.749189
136050, 0.02873042, -0.35434186, 9.773131
136060, -0.01436521, -0.33997664, 9.77792
136070, 0.019153614, -0.33518824, 9.768343
136081, 0.019153614, -0.320823, 9.77792
136090, -0.0047884034, -0.35913026, 9.768343
136100, 0.01436521, -0.34476504, 9.739613
136111, 0.01436521, -0.36391866, 9.782708
136120, -0.009576807, -0.34955344, 9.773131
136130, -0.01436521, -0.33997664, 9.749189
136141, 0.009576807, -0.33518824, 9.763555
136150, 0.033518825, -0.34955344, 9.758766
136160, 0.02873042, -0.37828386, 9.792285
136170, 0.0047884034, -0.320823, 9.734824
136180, 0.01436521, -0.36391866, 9.744401
136190, -0.01436521, -0.36870706, 9.787497
136200, 0.04309563, -0.37828386, 9.782708
136210, 0.009576807, -0.35434186, 9.758766
136220, 0.02873042, -0.33997664, 9.763555
136230, 0.01436521, -0.320823, 9.749189
136241, 0.0047884034, -0.38307226, 9.758766
136251, 0.01436521, -0.34476504, 9.782708
136260, 0.04309563, -0.33518824, 9.744401
136270, 0.01436521, -0.35434186, 9.792285
136280, 0.019153614, -0.35913026, 9.768343
136290, 0.009576807, -0.34955344, 9.773131
136301, 0.01436521, -0.35913026, 9.768343
136311, 0.033518825, -0.36391866, 9.763555
136321, 0.01436521, -0.36391866, 9.763555
136330, -0.02873042, -0.35434186, 9.763555
136340, 0.0047884034, -0.34476504, 9.749189
136351, 0.023942016, -0.35434186, 9.763555
136362, 0.023942016, -0.33039984, 9.787497
136370, 0.009576807, -0.34955344, 9.768343
136381, 0.009576807, -0.36391866, 9.749189
136393, 0.023942016, -0.34476504, 9.763555
136400, 0.009576807, -0.33518824, 9.768343
136410, 0.02873042, -0.32561144, 9.744401
136420, 0.009576807, -0.36391866, 9.744401
136431, 0.0047884034, -0.37349546, 9.782708
136441, 0.009576807, -0.35434186, 9.763555
136451, 0.009576807, -0.37349546, 9.782708
136461, -0.0047884034, -0.33997664, 9.773131
136470, 0.04309563, -0.33997664, 9.749189
136481, 0.047884032, -0.2825158, 9.77792
136490, 0.05267244, -0.30645782, 9.753978
136502, 0.009576807, -0.33039984, 9.749189
136514, 0.038307227, -0.35913026, 9.77792
136521, 0.02873042, -0.36391866, 9.768343
136532, 0.038307227, -0.34476504, 9.763555
136548, 0.0047884034, -0.31603462, 9.749189
136551, 0.02873042, -0.30645782, 9.739613
136565, 0.0047884034, -0.36391866, 9.753978
136571, -0.033518825, -0.40222588, 9.782708
136582, -0.02873042, -0.41180268, 9.768343
136598, -0.047884032, -0.36391866, 9.758766
136602, 0.009576807, -0.33039984, 9.773131
136614, 0.023942016, -0.34476504, 9.773131
136621, 0.02873042, -0.34476504, 9.753978
136631, 0.033518825, -0.32561144, 9.768343
136647, 0.04309563, -0.33518824, 9.758766
136651, 0.019153614, -0.33039984, 9.753978
136663, 0.02873042, -0.41180268, 9.773131
136671, 0.009576807, -0.39743748, 9.753978
136682, -0.023942016, -0.36391866, 9.753978
136697, 0.009576807, -0.37828386, 9.792285
136701, -0.019153614, -0.36391866, 9.787497
136711, 0.01436521, -0.36391866, 9.739613
136720, 0.0047884034, -0.35913026, 9.758766
136731, 0.023942016, -0.35913026, 9.749189
136744, 0.009576807, -0.33518824, 9.730036
136750, 0.02873042, -0.35434186, 9.763555
136761, 0.023942016, -0.33518824, 9.782708
136770, 0.047884032, -0.37349546, 9.77792
136781, 0.033518825, -0.37349546, 9.782708
136795, 0.033518825, -0.36391866, 9.753978
136801, 0.0047884034, -0.34476504, 9.758766
136811, -0.019153614, -0.36391866, 9.763555
136821, 0.0047884034, -0.36391866, 9.763555
136831, 0.019153614, -0.33997664, 9.758766
136847, 0.023942016, -0.31603462, 9.758766
136851, 0.038307227, -0.35434186, 9.744401
136864, 0.033518825, -0.31603462, 9.763555
136871, 0.009576807, -0.35913026, 9.763555
136881, 0.062249243, -0.36391866, 9.749189
136898, 0.05746084, -0.35434186, 9.753978
136901, 0.04309563, -0.35913026, 9.753978
136914, 0.0047884034, -0.37349546, 9.792285
136921, 0.023942016, -0.39264908, 9.787497
136932, -0.02873042, -0.39264908, 9.763555
136947, -0.02873042, -0.34476504, 9.744401
136951, -0.0047884034, -0.35913026, 9.758766
136964, -0.01436521, -0.37349546, 9.739613
136971, 0.023942016, -0.35434186, 9.753978
136982, 0.033518825, -0.320823, 9.763555
136998, 0.009576807, -0.34955344, 9.801862
137002, 0.023942016, -0.33039984, 9.730036
137013, 0.023942016, -0.320823, 9.758766
137021, 0.019153614, -0.31603462, 9.734824
137031, -0.009576807, -0.34476504, 9.749189
137046, 0.090979666, -0.38307226, 9.720459
137051, -0.07182605, -0.29688102, 9.89763
137063, 0.08619126, -0.32561144, 9.715671
137071, -0.10055647, -0.36391866, 9.825804
137082, 0.047884032, -0.41180268, 9.710882
137096, 0.0047884034, -0.30166942, 9.768343
137102, -0.0047884034, -0.39264908, 9.773131
137113, -0.04309563, -0.35434186, 9.782708
137122, -0.009576807, -0.33518824, 9.763555
